Numero,Localidad de Colecta,Y,X,Coloración
32,Palomino,11.251599,-73.558414,Blanco
33,Palomino,11.251599,-73.558414,Blanco
34,Palomino,11.251599,-73.558414,Blanco
35,Palomino,11.251599,-73.558414,Blanco
36,Cali,3.567778,-76.573889,Blanco
37,Cali,3.567778,-76.573889,Naranja
38,Cali,3.567778,-76.573889,Blanco
39,Cali,3.567778,-76.573889,Blanco
40,Cali,3.567778,-76.573889,Negra
41,Cali,3.567778,-76.573889,Blanco
42,Cali,3.567778,-76.573889,Blanco
43,Cali,3.567778,-76.573889,Blanco
44,Cali,3.567778,-76.573889,Blanco
45,Cali,3.567778,-76.573889,Blanco
46,Cali,3.567778,-76.573889,Blanco
47,Cali,3.567778,-76.573889,Blanco
48,Cali,3.567778,-76.573889,Blanco
49,Villavicencio,4.067055,-73.58694,Blanco
50,Villavicencio,4.067055,-73.58694,Blanco
51,Villavicencio,4.067055,-73.58694,Amarillo
52,Villavicencio,4.067055,-73.58694,Blanco
53,Villavicencio,4.067055,-73.58694,Naranja
54,Villavicencio,4.067055,-73.58694,Amarillo
55,Villavicencio,4.067055,-73.58694,Naranja
56,Villavicencio,4.067055,-73.58694,Indeterminado
57,Villavicencio,4.067055,-73.58694,Blanco
58,Villavicencio,4.067055,-73.58694,Blanco
59,Villavicencio,4.067055,-73.58694,Blanco
60,Villavicencio,4.067055,-73.58694,Blanco
61,Villavicencio,4.067055,-73.58694,Naranja
62,Villavicencio,4.067055,-73.58694,Blanco
62.1,Villavicencio,4.067055,-73.58694,Amarillo
63,Villavicencio,4.067055,-73.58694,Amarillo
64,Villavicencio,4.067055,-73.58694,Blanco
65,Villavicencio,4.067055,-73.58694,Blanco
66,Villavicencio,4.067055,-73.58694,Blanco
67,Villavicencio,4.067055,-73.58694,Blanco
68,Villavicencio,4.067055,-73.58694,Blanco
69,Villavicencio,4.067055,-73.58694,Blanco
70,Villavicencio,4.067055,-73.58694,Blanco
71,Villavicencio,4.067055,-73.58694,Blanco
72,Villavicencio,4.067055,-73.58694,Blanco
73,Armero,5.002271,-74.907662,Amarillo
74,Armero,5.002271,-74.907662,Blanco
75,Armero,5.002271,-74.907662,Amarillo
76,Armero,5.002271,-74.907662,Amarillo
77,Boquia,4.637503,-75.587204,Naranja
78,Boquia,4.637503,-75.587204,Amarillo
79,Boquia,4.637503,-75.587204,Blanco
80,Boquia,4.637503,-75.587204,Naranja
81,Boquia,4.637503,-75.587204,Negra
82,Boquia,4.637503,-75.587204,Blanco
83,Boquia,4.637503,-75.587204,Amarillo
84,Boquia,4.637503,-75.587204,Amarillo
85,Boquia,4.637503,-75.587204,Blanco
86,Boquia,4.637503,-75.587204,Blanco
87,Ibagué,4.444443,-75.191610,Blanco
31,Ibagué,4.444443,-75.191610,Blanco
88,Ibagué,4.444443,-75.191610,Blanco
89,Ibagué,4.444443,-75.191610,Naranja
90,Ibagué,4.444443,-75.191610,Blanco
91,Ibagué,4.444443,-75.191610,Blanco
92,Ibagué,4.444443,-75.191610,Amarillo
93,Ibagué,4.444443,-75.191610,Amarillo
94,BahiaMa,4.102306,-77.491175,Blanco
95,BahiaMa,4.102306,-77.491175,Blanco
96,BahiaMa,4.102306,-77.491175,Amarillo
97,BahiaMa,4.102306,-77.491175,Blanco
98,BahiaMa,4.102306,-77.491175,Amarillo
99,BahiaMa,4.102306,-77.491175,Naranja
100,BahiaMa,4.102306,-77.491175,Naranja
101,BahiaMa,4.102306,-77.491175,Naranja
102,BahiaMa,4.102306,-77.491175,Amarillo
103,BahiaMa,4.102306,-77.491175,Indeterminado
104,Leticia,-4.18126,-69.951963,Blanco
105,Bucaramanga,7.142552,-73.119648,Naranja
106,Bucaramanga,7.142552,-73.119648,Blanco
107,Bucaramanga,7.142552,-73.119648,Naranja
108,Bucaramanga,7.142552,-73.119648,Indeterminado
109,Bucaramanga,7.142552,-73.119648,Indeterminado
110,Nirvana,4.178586,-76.205789,Blanco
111,Nirvana,4.178586,-76.205789,Amarillo
112,MetaMa,3.61277,73.79128,Blanco
113,MetaMa,3.61277,73.79128,Naranja
114,MetaMa,3.61277,73.79128,Amarillo
115,MetaMa,3.61277,73.79128,Naranja
116,Medellin,6.207915,-75.569865,Naranja
117,Medellin,6.207915,-75.569865,Blanco
118,Cocalito,6.385295,-77.399904,Naranja
